team,adjustPoints_mean,foulPoints_mean,cargoPoints_mean,completeRocketRankingPoint_mean,rocketPoints_mean,rp_mean,sandStormBonusPoints_mean,rocketLowPoints_mean,rocketMidPoints_mean,teleopPoints_mean,win_mean,autoPoints_mean,completedRocketNear_mean,habDockingRankingPoint_mean,completedRocketFar_mean,totalPoints_mean,hatchPanelPoints_mean,foulCount_mean,habClimbPoints_mean,ownPoints_mean,rocketTopPoints_mean,techFoulCount_mean
frc6802,0.0,-0.9411764705882353,4.0588235294117645,0.0,6.411764705882353,0.7058823529411765,-0.7058823529411765,3.8823529411764706,2.5294117647058822,9.294117647058824,0.6176470588235294,-0.7058823529411765,0.0,0.35294117647058826,0.0,7.647058823529412,3.6470588235294117,0.11764705882352941,1.588235294117647,7.705882352941177,0.0,0.058823529411764705
frc540,0.0,0.23529411764705882,4.9411764705882355,0.0,6.117647058823529,-0.35294117647058826,-1.2352941176470589,3.176470588235294,2.2941176470588234,4.588235294117647,0.47058823529411764,-1.2352941176470589,0.0,-0.11764705882352941,0.0,3.588235294117647,2.1176470588235294,0.11764705882352941,-2.4705882352941178,3.5294117647058822,0.6470588235294118,-0.058823529411764705
frc1610,0.0,-0.631578947368421,-2.8421052631578947,0.0,3.1578947368421053,0.7368421052631579,1.5789473684210527,-0.05263157894736842,1.5263157894736843,2.6842105263157894,0.7368421052631579,1.5789473684210527,0.0,-0.10526315789473684,0.05263157894736842,3.6315789473684212,4.421052631578948,0.21052631578947367,1.105263157894737,3.6315789473684212,1.6842105263157894,0.0
frc384,0.0,1.894736842105263,-3.473684210526316,0.05263157894736842,-5.368421052631579,0.42105263157894735,0.9473684210526315,-3.263157894736842,-2.0,-4.894736842105263,0.6052631578947368,0.9473684210526315,0.0,0.05263157894736842,0.0,-2.0526315789473686,-2.210526315789474,-0.10526315789473684,0.7894736842105263,-2.210526315789474,-0.10526315789473684,-0.15789473684210525
frc3359,0.0,-0.631578947368421,-6.0,-0.05263157894736842,-5.2105263157894735,-0.7894736842105263,0.15789473684210525,-3.473684210526316,-1.0,-8.894736842105264,0.3684210526315789,0.15789473684210525,0.0,-0.10526315789473684,-0.05263157894736842,-9.368421052631579,-2.736842105263158,0.21052631578947367,-0.15789473684210525,-9.368421052631579,-0.7368421052631579,0.0
frc1598,0.0,1.0,-5.25,0.0,-2.5,-0.8333333333333334,-0.25,-2.0,-0.6666666666666666,-7.333333333333333,0.2916666666666667,-0.25,0.0,0.0,0.0,-6.583333333333333,-0.8333333333333334,-0.3333333333333333,-1.25,-6.583333333333333,0.16666666666666666,0.0
frc5950,0.0,0.5,-0.75,0.0,-2.25,-1.0,-3.75,-0.3333333333333333,-1.0833333333333333,-5.416666666666667,0.25,-3.75,0.0,0.0,0.0,-8.666666666666666,-4.166666666666667,-0.16666666666666666,-0.5,-8.666666666666666,-0.8333333333333334,0.0
frc6021,0.0,-2.8333333333333335,-4.25,0.0,-1.25,-1.25,-4.25,0.25,-1.1666666666666667,-7.666666666666667,0.20833333333333334,-4.25,0.0,-0.08333333333333333,0.0,-14.75,-1.6666666666666667,0.6666666666666666,-1.75,-14.666666666666666,-0.3333333333333333,0.08333333333333333
frc3258,0.0,0.5,1.5,0.0,-1.2857142857142858,-0.07142857142857142,0.0,-1.5714285714285714,0.2857142857142857,-5.285714285714286,0.42857142857142855,0.0,0.0,-0.07142857142857142,0.0,-4.785714285714286,-3.5714285714285716,0.07142857142857142,-3.2142857142857144,-4.857142857142857,0.0,-0.07142857142857142
frc1908,0.0,-0.7142857142857143,2.142857142857143,0.0,-4.785714285714286,0.5,-1.7142857142857142,-2.4285714285714284,-1.7857142857142858,-0.9285714285714286,0.5357142857142857,-1.7142857142857142,0.0,0.07142857142857142,0.0,-3.357142857142857,-4.142857142857143,0.0,1.0714285714285714,-3.2857142857142856,-0.5714285714285714,0.07142857142857142
frc617,0.0,-0.5,0.5,0.0,-2.5,-0.4166666666666667,-1.25,-1.6666666666666667,-0.3333333333333333,-5.75,0.4166666666666667,-1.25,0.0,-0.08333333333333333,0.0,-7.5,-2.5,0.16666666666666666,-3.75,-7.5,-0.5,0.0
frc1413,0.0,1.5714285714285714,1.0714285714285714,0.0,-2.7142857142857144,0.21428571428571427,-0.21428571428571427,-1.9285714285714286,-0.5,0.7857142857142857,0.5,-0.21428571428571427,0.0,-0.07142857142857142,0.0,2.142857142857143,-1.5714285714285714,-0.2857142857142857,1.2857142857142858,2.0714285714285716,-0.2857142857142857,-0.07142857142857142
frc6189,0.0,-2.5,-4.5,0.0,0.08333333333333333,-0.75,-3.0,0.25,-0.3333333333333333,-5.666666666666667,0.2916666666666667,-3.0,0.0,0.08333333333333333,0.0,-11.166666666666666,-2.1666666666666665,0.8333333333333334,1.0,-11.166666666666666,0.16666666666666666,0.0
